ITERATION,F1_SCORE_TRAIN,F1_SCORE_TEST,num_leaves,learning_rate,max_depth,min_child_samples,colsample_bytree,subsample,n_estimators,reg_alpha,reg_lambda,subsample_for_bin
101,0.937165939222228,0.9073050159017594,19,0.0641133734387788,8,26,0.22907882940221538,0.416586242576556,11,0.1152032063659551,0.9311082644503459,33
102,0.9654997552037979,0.9259573830216519,16,0.032695213978534414,10,30,0.27373242450018626,0.48124852851813216,99,0.05006867950158728,0.17907066036289232,34
103,0.9396657490538163,0.9092795714556683,13,0.01727949880697331,9,26,0.1847921459809865,0.53111633873934,66,0.3904824394579954,0.828783127253768,39
104,0.9474987826999872,0.919315614633906,43,0.023130669391737513,7,21,0.153048641215278,0.5057020855182401,31,0.12086914873088761,0.09003332642278201,37
105,1.0,0.9219636449687345,24,0.32922258724464953,8,27,0.24264413661651751,0.3592161658291493,45,0.26457893363965,0.24528090586932494,46
106,1.0,0.9306336578244527,22,0.13769757730484186,8,25,0.3025147590106549,0.5800528845933391,69,0.02390997437865284,0.052477569831296304,36
107,1.0,0.9139361139422283,39,0.9689937192405266,9,20,0.19981812540525937,0.4498702161254059,37,0.3450320403923821,0.1367098271155945,42
108,0.9561663017289381,0.9266508694782349,10,0.05144017243372762,7,28,0.1335610004211876,0.6557947854070876,87,0.18842459071495526,0.5651231702327844,30
109,0.9571656773586955,0.9199611921097197,14,0.11161471477804516,8,16,0.3229762383522237,0.7178021880544638,22,0.30608808257905373,0.18919372977517226,32
110,0.9521664466406998,0.9179251968181695,41,0.01568663832411034,8,29,0.26786034137210224,0.46388185129309045,96,0.0007696047296736619,0.25915347353496787,34
111,0.9573331240711838,0.9239312236946964,18,0.025577215332698577,10,22,0.17109966574883032,0.3219788451288561,85,0.08428913556705231,0.889110873797546,38
112,1.0,0.9219552327772744,47,0.5446530429437565,7,18,0.7267672904736364,0.6057968106344602,75,0.03831212531079187,0.34759628312670005,28
113,0.9829998935171907,0.928627033790546,50,0.07936642527563159,6,24,0.21701215279084568,0.4999941895843995,63,0.13914755121701788,0.21686682042902386,41
114,0.9926666011567311,0.9266337432381173,8,0.2249777433155258,7,27,0.10085313989416375,0.2932079542531716,59,0.2074352012266168,0.300940539624717,43
115,0.9991666663194442,0.9253095276280867,36,0.09470283258092338,9,20,0.2984501165328962,0.6233653880609507,55,0.23481069224287873,0.027957861518971644,35
116,0.9616655191738854,0.9206407072599273,20,0.029663135758131665,8,23,0.370250719432505,0.2717585143492347,71,0.09094176639199564,0.757071312580279,49
